offer_id;url;hotel_name;marketing_title;country;region;city;street;postal_code;star_rating;price_pln;old_price_pln;discount_pct;price_note;rating_avg;rating_count;is_finished;summary;amenities;included;excluded;info_list;hotel_description;rooms;scraped_at
130007;https://travelist.pl/130007/polska-szczyrk-mercure-szczyrk-resort/;Mercure Szczyrk Resort;Wyjątkowy pobyt w Beskidach;Polska;Śląskie;Szczyrk;Wrzosowa 28a;43-370;4;349.0;572.13;39;Ceny na najbliższe terminy zaczynają się od 349 zł za 2 osoby/noc;4.lip;367;false;Luksusowy, największy w regionie hotel położony 660 m n.p.m., w Szczyrku, z widokiem na góry - śniadania lub 2 posiłki, dostęp do kompleksu basenowego FLOW z basenem, zjeżdżalniami i jacuzzi i więcej w cenie! **Opcja pobytu dzieci GRATIS!** **Travelist Hotel Star 2026: Najlepszy Obiekt w Górach.**;Recepcja czynna całą dobę | Bar | Parking dla rowerów | Wypożyczalnia rowerów | Udogodnienia dla osób niepełnosprawnych | Bezpłatny Internet Wi-Fi | Siłownia | Jacuzzi | Basen kryty | Winda | Hotel dla niepalących | Możliwość przyjazdu z pupilem | Restauracja | Room service | Sauna | Spa;"Zakwaterowanie | **Śniadania** (w godz. 7-10) w formie bufetu, z napojami lub **śniadania i obiadokolacje** (w godz. 17:30-20) w formie bufetu, z napojami - możliwość wyboru na dalszym etapie rezerwacji | **Pobyt dziecka do lat 12 na dostawce GRATIS** (ze świadczeniami) - w Apartamencie Junior Suite, Executive Suite, w pokoju Classic Double z rozkładaną sofą i widokiem na góry, pokoju Privilege Double/Twin z balkonem i widokiem na góry lub **pobyt 2 dzieci do lat 12 na dostawce GRATIS** (ze świadczeniami) - w pokoju Superior Double oraz w pokoju Family (w pakiecie na min. 3 noce), po dodaniu dziecka w składzie podróżnych; dodatkowo 1 dziecko do lat 3 na łóżku z rodzicami gratis | **Nielimitowany dostęp do kompleksu basenowego FLOW**: z basenem, brodzikiem dla dzieci, 2 zjeżdżalniami, rwącą rzeką, pool barem, jacuzzi wewnętrznym, jacuzzi zewnętrznym oraz Bistro, **dostęp dla osób zameldowanych w pokojach Privilege/Superior/Junior/Executive** | **Kompleks basenowy FLOW**: z basenem, brodzikiem dla dzieci, 2 zjeżdżalniami, rwącą rzeką, pool barem, jacuzzi wewnętrznym, jacuzzi zewnętrznym oraz Bistro - **dostęp 2 godziny dziennie dla każdej osoby zameldowanej w pokojach Classic** | **Dostęp do sali zabaw dla dzieci** | Dostęp do **centrum fitness** | Atrakcje na Wakacje (01.07-31.08.2026): m.in. wieczory z muzyką na żywo, klimatyczne ogniska i wieczory w plenerze, letnia strefa zewnętrzna FLOW - w zależności od warunków pogodowych (zgodnie z harmonogramem hotelu) | **Atrakcje na Wakacje** (01.07-31.08.2026) dla pobytów ze śniadaniem i obiadokolacją: m.in. codzienny blok „Przygoda & Przetrwanie”, kosmiczna misja „Między Galaktykami”, olimpijskie wyzwania sportowe, tematyczne dni kulturowe, warsztaty kreatywne DIY (zgodnie z harmonogramem hotelu). Szczegóły w sekcji „Warto wiedzieć”. | Internet Wi-Fi";Opłaty klimatycznej (płatność na miejscu) | Opłaty za parking - 30 zł/auto/doba | Dostępu do saun | Opłat za pozostałe usługi w hotelu | W przypadku braku zgłoszenia pobytu psa Hotel zastrzega sobie możliwość naliczenia opłaty zgodnie z obowiązującym regulaminem. Jednocześnie w restauracjach Seasons oraz Flame obowiązuje bezwzględny zakaz wprowadzania pupili. Ze względu na dużą liczbę Gości oraz zwiększony poziom hałasu, przestrzenie te nie są komfortowe dla zwierząt. Uprzejmie prosimy, aby na czas korzystania z restauracji pozostawić pupile w pokojach hotelowych.;"Doba hotelowa: 16:00 - 12:00 | Zameldowanie: Od godz. 16:00 | Wymeldowanie: Do godz. 12:00 | Dzieci i dostawki: 1 dziecko do 3 lat na łóżku z rodzicami; po dodaniu dziecka w składzie podróżnych. W pokojach Privilege Double z balkonem i widokiem na góry, Classic Double z rozkładaną sofą i widokiem na góry oraz apartamentach Executive Suite i Junior Suite - możliwość dostawki dla 1 dziecka od 4 lat lub 1 osoby dorosłej. W Pokoju Superior Double z balkonem widokiem na góry - możliwość dostawki dla 2 dzieci od 4 lat lub 2 osób dorosłych. Wybierz daty w kalendarzu oraz skład podróżnych, by sprawdzić aktualną cenę pobytu z dostawką. W pokojach Classic Twin z widokiem na góry, Privilege Twin z balkonem i widokiem na góry, Classic Queen z widokiem na góry i Classic Double z widokiem na góry - brak możliwości dostawek. *W Obiekcie obowiązują standardy ochrony małoletnich, o których mowa w ustawie z dnia 28 lipca 2023 r. o zmianie ustawy – Kodeks rodzinny i opiekuńczy oraz niektórych innych ustaw (Dz.U. z 2023 poz. 1606). W związku z powyższym, przy meldunku w Obiekcie prosimy o okazanie dokumentu tożsamości dziecka lub innego dokumentu potwierdzającego, że osoba dorosła ma prawo do sprawowania opieki na dzieckiem na terenie Obiektu (upoważnienie od rodziców dziecka lub orzeczenie sądowe).* | Z pupilem: Za dopłatą - 70 zł/zwierzę/doba; z aktualną książeczką szczepień; konieczny wcześniejszy kontakt z recepcją; możliwość zapłaty na dalszym etapie rezerwacji. Hotel przygotował dla zwierząt specjalne udogodnienia, takie jak miski oraz legowiska, które udostępniane są na życzenie Gości, aby pobyt pupili był jak najbardziej komfortowy. W przypadku braku zgłoszenia pobytu psa Hotel zastrzega sobie możliwość naliczenia opłaty zgodnie z obowiązującym regulaminem. Jednocześnie w restauracjach Seasons oraz Flame obowiązuje bezwzględny zakaz wprowadzania pupili. Ze względu na dużą liczbę Gości oraz zwiększony poziom hałasu, przestrzenie te nie są komfortowe dla zwierząt. Uprzejmie prosimy, aby na czas korzystania z restauracji pozostawić pupile w pokojach hotelowych. | Parking: Za dopłatą - 30 zł/auto/doba. | Rezerwacje Grupowe: Podane ceny dotyczą rezerwacji indywidualnych, maks. do 8 pokoi. Jeśli chcesz zarezerwować pobyt dla większej grupy, przejdź do sekcji **[Zapytania Grupowe](https://zapytania.travelist.pl/ ""Zapytania Grupowe"")**. | **Atrakcje na Wakacje (01.07-31.08.2026)**: (dla pobytów ze śniadaniem i obiadokolacją) Główne punkty programu (wybrane atrakcje): **w lipcu** - tematyczne dni kulturowe (Włochy, Meksyk, Azja, USA, Francja, Hiszpania), - codzienny blok „Przygoda & Przetrwanie” (survival, mapy, kompas), **w sierpniu** - podróż w czasie (Egipt, średniowiecze, lata 80.), - kosmiczna misja „Między Galaktykami” z nauką o planetach, - olimpijskie wyzwania sportowe z medalami, - warsztaty kreatywne DIY oraz gry terenowe *Hotel zastrzega sobie prawo do zmian w harmonogramie.* | Warunki: Twoja rezerwacja jest bezpośrednią umową między Tobą a Oferentem Usług/Obiektem, dotyczącą rezerwacji pobytu zgodnie z wybraną Usługą/wybranym Obiektem lub bezpośrednią umową między Tobą a Organizatorem turystyki, dotyczącą rezerwacji Usługi Hotel+Lot. Stroną odpowiedzialną za prawidłowe wykonanie umowy w odniesieniu do rezerwacji pobytu w obiekcie jest Oferent lub Organizator turystyki w przypadku rezerwacji Usługi Hotel+Lot, których dane znajdziesz w sekcji Informacja dla konsumentów. W odniesieniu do rezerwacji usług Oferenta obowiązuje Regulamin Serwisu Travelist , Regulamin Środków i Kart Podarunkowych , Regulamin Usługi Zakwaterowania oraz Warunki Rezygnacji . W odniesieniu do rezerwacji Usługi Hotel+Lot obowiązuje Regulamin Serwisu , Regulamin Travelist Hotel+Lot oraz Warunki Rezygnacji Usługi Hotel+Lot . Szczegółowe informacje na temat sposobu funkcjonowania serwisu znajdziesz w zakładce „Jak działamy” dostępnej tutaj . W przypadku Usługi Hotel+Lot Travelist działa jako agent Organizatora Turystyki. Transport nie jest wliczony w cenę. Secret Escapes Limited a company registered in England & Wales under number 07026107, registered office 88 Kingsway, London, WC2B 6AA. © Secret Escapes 2019";DLACZEGO WARTO? Mercure Szczyrk Resort to komfortowy, największy w regionie hotel położony w malowniczym sercu Beskidów, w miejscowości Szczyrk. Położony jest 660 m n.p.m. Oferuje gościom nowoczesne pokoje z widokiem na góry, 2 restauracje, 3 bary, a także bogate zaplecze rekreacyjne, w tym basen, spa i siłownię. Idealny dla miłośników aktywnego wypoczynku, w tym narciarstwa i turystyki pieszej, jak również dla osób szukających relaksu i odnowy biologicznej. Hotel wyróżnia się wysokim standardem obsługi oraz licznymi udogodnieniami dla rodzin z dziećmi. W pokojach znajdują się butelki wielokrotnego użytku oraz woda na korytarzach. Hotel został zaprojektowany z poszanowaniem regionu i wykorzystuje wiele eko-rozwiązań. Na gości czekają nowoczesne, klimatyzowane pokoje z łazienką, suszarką do włosów, telewizorem oraz Wi-Fi. Pokoje są z widokiem na góry. ATRAKCJE OBIEKTU - basen wewnętrzny - 3 zewnętrzne jacuzzi - sauny - spa - masaże - zabiegi na twarz i ciało - centrum fitness - wypożyczalnia rowerów DLA NAJMŁODSZYCH - sala zabaw dla dzieci - pokój gier - możliwość wypożyczenia łóżeczka turystycznego - możliwość wypożyczenia wanienki - wypożyczalnia rowerków dziecięcych - 3 kluby dla dzieci - bogaty program atrakcji i animacji (zgodnie z harmonogramem hotelu) JEDZENIE I PICIE W hotelu znajdują się 2 restauracje - Restauracja Flame i Bistro Flow oraz 3 bary - Pool Bar, Bar Luna i Wow Bar.;Pokój Family (2 pokoje położone w pobliżu siebie) / maks. 3 osoby dorosłe i maks. 2 dzieci / Dwa pokoje z widokiem na góry położone w pobliżu siebie: klimatyzowany pokój z 1 łóżkiem łączonym i rozkładaną sofą dla 1 osoby oraz pokój Classic Twin z dwoma oddzielnymi łóżkami o pow. ok. 23 m2 || Classic Double Room with Sofa Bed and Mountain View / maks. 3 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym lub z 2 łóżkami pojedynczymi. Pow. ok. 23 m2. Widok na góry. || Classic Queen Room with Mountain View / maks. 2 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym. Pow. ok. 23 m2. Widok na góry. || Classic Twin Room with Mountain View / maks. 2 osoby dorosłe / Klimatyzowany pokój z 2 łóżkami pojedynczymi. Pow. ok. 23 m2. Widok na góry. || Privilege Double Room with Sofa Bed and Balcony - Mountain View / maks. 3 osoby dorosłe / Klimatyzowany pokój z 1 łóżko podwójne i rozkładaną sofą. Pow. ok. 28 m2. Widok na góry. Pokój posiada balkon. || Privilege Twin Room with Sofa Bed and Balcony - Mountain View / maks. 3 osoby dorosłe / Klimatyzowany pokój z 2 łóżkami pojedynczymi (z możliwością złączenia) i rozkładaną sofą. Pow. ok. 28 m2. Widok na góry. Pokój posiada balkon. || Pokój Superior Double z balkonem widokiem na góry / maks. 4 osoby dorosłe / Klimatyzowany pokój z sypialnią i częścią dzienną. W sypialni znajduje się 1 łóżko podwójne, a w części dziennej rozkładana sofa. Pow. ok. 37 m2. Widok na góry. Pokój posiada balkon. || Pokój Privilege Double z balkonem i widokiem na góry / maks. 3 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym i jednoosobową sofą. Pow. ok. 28 m2. Pokój posiada balkon i widok na góry, || Pokój Classic Double z widokiem na góry / maks. 2 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym. Pow. ok. 24 m2. Widok na góry. || Pokój Classic Queen z widokiem na góry / maks. 2 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym. Pow. ok. 24 m2. Widok na góry. || Pokój Classic Double z rozkładaną sofą i widokiem na góry / maks. 3 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym lub z 2 łóżkami pojedynczymi oraz rozkładaną sofą. Pow. ok. 23 m2. Widok na góry. || Apartament Executive Suite / maks. 3 osoby dorosłe / Klimatyzowany apartament z sypialnią z 1 łóżkiem podwójnym i przestronnym salonem z rozkładaną sofą. Pow. ok. 60 m2. Apartament posiada balkon. || Apartament Junior Suite / maks. 3 osoby dorosłe / Klimatyzowany apartament z sypialnią i częścią dzienną. W sypialni znajduje się 1 łóżko podwójne, a w części dziennej rozkładana sofa. Pow. ok. 42 m2. Apartament posiada balkon. || Pokój Privilege Twin z balkonem i widokiem na góry / maks. 2 osoby dorosłe / Klimatyzowany pokój z 2 łóżkami pojedynczymi (z możliwością złączenia) i rozkładaną sofą. Pow. ok. 28 m2. Widok na góry. Pokój posiada balkon. || Pokój Classic Twin z widokiem na góry / maks. 2 osoby dorosłe / Klimatyzowany pokój z 2 łóżkami pojedynczymi. Pow. ok. 24 m2. Widok na góry.;3.07.2026
131504;https://travelist.pl/131504/polska-swieradow-zdroj-apartamenty-w-elements/;Apartamenty w Elements Hotel & SPA;Wypoczynek z widokiem na panoramę Gór Izerskich;Polska;Dolnośląskie;Świeradów-Zdrój;Zakopiańska 20a;59-850;5;217.3;387.39;44;Ceny na najbliższe terminy zaczynają się od 217 zł za 2 osoby/noc;4.lip;43;false;"Nowoczesne apartamenty w luksusowym kompleksie, tylko 300 m od Ośrodka Narciarskiego SKI&SUN z jedną z najnowocześniejszych kolei gondolowych w Polsce - śniadania lub 2 posiłki, dostęp do basenu, strefy saun i więcej w cenie! **Pobyt z dziećmi GRATIS**: na min. 5 nocy oraz 1 dziecko do lat 12 na dostawce i 1 dziecko do lat 3 na łóżku z rodzicami w cenie pakietu. Apartamenty Elements wchodzą w skład pięciogwiazdkowego kompleksu **[Elements Hotel & SPA 5*](https://travelist.pl/118167/polska-swieradow-zdroj-elements-hotel-spa/ ""Sprawdź ofertę"")**";Recepcja czynna całą dobę | Bar | Wypożyczalnia rowerów | Udogodnienia dla osób niepełnosprawnych | Bezpłatny Internet Wi-Fi | Siłownia | Jacuzzi | Basen kryty | Winda | Przechowalnia bagaży | Płatny parking w hotelu | Możliwość przyjazdu z pupilem | Restauracja | Sauna | Spa;"Zakwaterowanie | **Śniadania** (w godz. 8-11) w formie bufetu, z napojami lub **śniadania i obiadokolacje** (w godz. 16-19) w formie bufetu, z napojami - do wyboru na dalszym etapie rezerwacji. Podczas śniadań i obiadokolacji jest dostępny bufet dziecięcy. Posiłki podawane są w budynku hotelowym | **Pobyt dziecka do lat 12 na dostawce GRATIS** (ze świadczeniami) - w pakiecie: Pobyt z dziećmi GRATIS, po dodaniu dziecka w składzie podróżnych; dodatkowo 1 dziecko do lat 3 na łóżku z rodzicami gratis | **Nielimitowany dostęp do strefy wellness** | **Dostęp do basenu** rekreacyjnego z brodzikiem oraz wanną z hydromasażem | **Dostęp do strefy saun**: fińskiej, infrared, sauny bio i ziołowej oraz łaźni parowej | **Nielimitowany wstęp do rodzinnych atrakcji**: Game Room z szerokim wyborem gier i konsolami, Play Room z zabawkami dla dzieci, Game Zone z piłkarzykami i automatami do gier, **Małpi Gaj dla dzieci** (zlokalizowany w budynku hotelowym w sali zabaw na 6 piętrze) | Weekendowe **animacje dla dzieci i dorosłych** oraz codzienne w czasie świąt, długich weekendów, ferii zimowych i wakacji | Dostęp do sali fitness | **Możliwość korzystania z zajęć fitness** (zgodnie z harmonogramem hotelu, obowiązują zapisy u Concierge) | Dostęp do zewnętrznego placu zabaw | **W każdą sobotę – koncerty z muzyką na żywo** | Możliwość skorzystania z pomocy Concierge | Internet Wi-Fi";Opłaty klimatycznej (płatność na miejscu) | Opłaty za parking - 40 zł/auto/doba (zewnętrzny) lub 60 zł/auto/doba (wewnętrzny) | Opłat za pozostałe usługi w obiekcie;"Doba hotelowa: 16:00 - 11:00 | Zameldowanie: Od godz. 16:00 | Wymeldowanie: Do godz. 11:00 | Dzieci i dostawki: 1 dziecko do 3 lat na łóżku z rodzicami – gratis (ze świadczeniami); po dodaniu dziecka w składzie podróżnych. Łóżeczko dziecięce za dopłatą – 40 zł/doba (na życzenie). Możliwość dostawki (rozkładana sofa) dla 2 dzieci w wieku 4-17 lat. Wybierz daty w kalendarzu oraz skład podróżnych, by sprawdzić aktualną cenę pobytu z dostawką. Brak możliwości dostawki dla osób dorosłych. | Z pupilem: Za dopłatą - 90 zł/zwierzę/doba; konieczny wcześniejszy kontakt z recepcją. | Parking: Za dopłatą - 40 zł/auto/doba (zewnętrzny) lub 60 zł/auto/doba (wewnętrzny). | Dodatkowe informacje: **Apartamenty zlokalizowane są w osobnym budynku (oddalonym o ok. 100 metrów od budynku hotelu)** W apartamentach przy pobytach min. 6 dób oferowany jest jednorazowy serwis na życzenie. Usługę należy zgłosić w recepcji. Serwis obejmuje wymianę ręczników (tylko jeśli są pozostawione na podłodze), odświeżenie łazienki, wyniesienie śmieci, uzupełnienie wody i zestawu kawowego. W przypadku pobytów krótszych niż 6 dób oferujemy odpłatny serwis apartamentów. **Korzystanie ze strefy saun**: Zgodnie z regulaminem **strefa saun jest beztekstylna**, co znaczy, że nie korzystamy w niej ze strojów kąpielowych, natomiast **obowiązkowe jest korzystanie z dwóch ręczników** ewentualnie prześcieradła, lub pareo saunowego. Jeden ręcznik służy do osłonięcia ciała, drugi natomiast pod stopy tak, aby żadna z części ciała nie miała styczności z drewnianą ławą. Ręcznik znajdujący się pod stopami ma również zapobiegać skapywaniu potu na ławy, co jest podyktowane zasadami higieny. | Warunki: Twoja rezerwacja jest bezpośrednią umową między Tobą a Oferentem Usług/Obiektem, dotyczącą rezerwacji pobytu zgodnie z wybraną Usługą/wybranym Obiektem lub bezpośrednią umową między Tobą a Organizatorem turystyki, dotyczącą rezerwacji Usługi Hotel+Lot. Stroną odpowiedzialną za prawidłowe wykonanie umowy w odniesieniu do rezerwacji pobytu w obiekcie jest Oferent lub Organizator turystyki w przypadku rezerwacji Usługi Hotel+Lot, których dane znajdziesz w sekcji Informacja dla konsumentów. W odniesieniu do rezerwacji usług Oferenta obowiązuje Regulamin Serwisu Travelist , Regulamin Środków i Kart Podarunkowych , Regulamin Usługi Zakwaterowania oraz Warunki Rezygnacji . W odniesieniu do rezerwacji Usługi Hotel+Lot obowiązuje Regulamin Serwisu , Regulamin Travelist Hotel+Lot oraz Warunki Rezygnacji Usługi Hotel+Lot . Szczegółowe informacje na temat sposobu funkcjonowania serwisu znajdziesz w zakładce „Jak działamy” dostępnej tutaj . W przypadku Usługi Hotel+Lot Travelist działa jako agent Organizatora Turystyki. Transport nie jest wliczony w cenę. Secret Escapes Limited a company registered in England & Wales under number 07026107, registered office 88 Kingsway, London, WC2B 6AA. © Secret Escapes 2019";DLACZEGO WARTO? Elements Apartments to rodzinne apartamenty będące odrębną częścią 5* obiektu Elements Hotel & SPA w Świeradowie-Zdroju. Goście Elements Apartments mogą korzystać ze wszystkich atrakcji dostępnych w hotelu. Świetna lokalizacja obok wielu szlaków turystycznych i rowerowych, a także bliskość stoków narciarskich sprawia, że to miejsce jest idealne dla miłośników aktywnego wypoczynku. Oddane do dyspozycji gości pomieszczenia w kompleksie są jasne, przestronne i dopracowane w najdrobniejszych szczegółach. Każdy z apartamentów (bez kategoryzacji, apartamenty znajdują się w osobnym budynku, oddalonym o ok. 100 m od budynku głównego) został urządzony w nowoczesnym stylu. Na wyposażeniu – poza wygodnymi łóżkami – znajdują się, m.in.: telewizor z płaskim ekranem, zestaw do parzenia kawy/herbaty, czajnik oraz chłodziarka. Na terenie całego kompleksu można połączyć się z szybką siecią Wi-Fi bez dodatkowych opłat. ATRAKCJE OBIEKTU • Strefa basenowa: 1 basen wewnętrzny – rekreacyjny, brodzik dla dzieci • Basen zewnętrzny z leżakami - dostępny w sezonie letnim (do dnia 18 września) • Wanna z hydromasażem • Strefa saun: sauna fińska, infrared, sauna bio i ziołowa, ceremonie saunowe • Tężnia solankowa • Łaźnia parowa z aromaterapią • Sala fitness ze sprzętem sportowym • Zajęcia fitness (zgodnie z harmonogramem hotelu) • Koncerty na żywo w lobby – w wybrane dni • Sensus SPA: bogata oferta masaży i zabiegów • Game Room • Taras wypoczynkowy (przy restauracji) DLA NAJMŁODSZYCH • Brodzik • Game Room • Program animacji dla dzieci oraz opieka animatorów w wybranych pakietach i terminach • Play Room • Rodzinna Sauna Fińska • Małpi Gaj dla dzieci (zlokalizowany w budynku hotelowym w sali zabaw na 6 piętrze) • Menu dla dzieci JEDZENIE I PICIE W kompleksie hotelowym znajdują się restauracja oraz Forum Bar. Restauracja Elements pozwoli delektować się daniami sezonowymi opartymi na produktach regionalnych. Oferuje ponadto wybór najlepszych win oraz wybornych deserów. Idealnym miejscem na kawę, ciasto czy orzeźwiającego drinka będzie znajdujący się w sercu hotelu, tuż przy samej recepcji Forum Bar. Wieczorami można tu także posłuchać muzyki na żywo.;Apartament Studio / maks. 4 osoby dorosłe / Apartament nieskategoryzowany, w oddzielnym budynku, z 1 łóżkiem podwójnym. Pow. ok. 25 m2. Każdy apartament posiada balkon lub taras. Apartamenty zlokalizowane są w budynkach oddalonych od części hotelowej o 100 metrów. || Apartament 2-osobowy Elements z sauną z opcją dwóch dostawek / maks. 4 osoby dorosłe / Apartament nieskategoryzowany, w oddzielnym budynku. Składa się z salonu z rozkładaną sofą oraz sypialni z 1 łóżkiem podwójnym. W apartamencie znajduje się prywatna sauna. Pow. ok. 40 m2. Każdy apartament posiada balkon lub taras. Apartamenty zlokalizowane są w budynkach oddalonych od części hotelowej o 100 metrów. || Apartament 2-osobowy Elements z aneksem kuchennym / maks. 4 osoby dorosłe / Apartament nieskategoryzowany, w oddzielnym budynku. Składa się z salonu z rozkładaną sofą oraz sypialni z 1 łóżkiem podwójnym. Pow. ok. 40 m2. Każdy apartament posiada balkon lub taras. Apartamenty zlokalizowane są w budynkach oddalonych od części hotelowej o 100 metrów.;3.07.2026
129986;https://travelist.pl/129986/polska-miedzywodzie-juvena-wellness-spa/;Hotel JUVENA SPA&Wellness;Luksusowy hotel w Międzywodziu;Polska;Zachodniopomorskie;Międzywodzie;Leśna 4;72-415;4;476.0;767.74;38;Ceny na najbliższe terminy zaczynają się od 476 zł za 2 osoby/noc;4.sie;68;false;Elegancki i stylowy hotel tylko 200 m od plaży w Międzywodziu - śniadania i obiadokolacje, nielimitowany dostęp do strefy wellness, basen na dachu i więcej w cenie! **Hotel dla osób powyżej 12 lat**.;Recepcja czynna całą dobę | Bar | Parking dla rowerów | Wypożyczalnia rowerów | Udogodnienia dla osób niepełnosprawnych | Bezpłatny Internet Wi-Fi | Siłownia | Jacuzzi | Basen kryty | Winda | Przechowalnia bagaży | Basen zewnętrzny | Płatny parking w hotelu | Restauracja | Sauna | Spa;Zakwaterowanie | **Śniadania** (w godz. 7:30-10:30, w weekendy do 11) w formie bufetu, z napojami i **obiadokolacje** (w godz. 17-19:30) w formie bufetu lub serwowane (w zależności od ilości gości), woda i soki w cenie | Nielimitowany dostęp do strefy wellness: baseny, sauny, jacuzzi, strefa relaksu | **10% rabatu na zabiegi SPA i Grotę Solną** | Dostęp do tarasu i basenu na dachu (od maja do października) | Dostęp do siłowni | Dostęp do czytelni - pokoju cichych aktywności | Internet Wi-Fi;Opłaty klimatycznej (płatność na miejscu) | Opłaty za parking zewnętrzny lub garaż - 40 zł/auto/doba dla pobytów w terminie 01.10-31.05 oraz 100 zł/auto/doba dla pobytów w terminie 01.06-30.09 | Opłat za pozostałe usługi w hotelu;Doba hotelowa: 16:00 - 11:00 | Zameldowanie: Od godz. 16:00 | Wymeldowanie: Do godz. 11:00 | Dzieci i dostawki: W Pokoju rodzinnym możliwość dostawki dla 2 dzieci od 12 lat (ze świadczeniami). Wybierz daty w kalendarzu oraz skład podróżnych, by sprawdzić aktualną cenę pobytu z dostawką. **Hotel TYLKO dla osób od 12 lat!** | Z pupilem: Nie. | Parking: Płatny (parking zewnętrzny lub garaż), 40 zł/auto/doba dla pobytów w terminie 01.10-31.05 oraz 100 zł/auto/doba dla pobytów w terminie 01.06-30.09. | Dodatkowe informacje: Dostęp do saun wyłącznie dla osób w wieku 18+. | Płatność: Jeśli zarezerwujesz tę ofertę co najmniej 14 dni przed rozpoczęciem pobytu, możesz wybrać opcję płatności dwuczęściowej. Pierwsza część płatności wyniesie 30% ceny całkowitej. Kwoty i terminy każdej wpłaty znajdziesz na ostatnim etapie procesu rezerwacji. W przypadku nie zapłacenia drugiej części kwoty za rezerwację rezerwacja zostanie anulowana. W takim przypadku wpłacona do tej pory kwota jest bezzwrotna. | Warunki: Twoja rezerwacja jest bezpośrednią umową między Tobą a Oferentem Usług/Obiektem, dotyczącą rezerwacji pobytu zgodnie z wybraną Usługą/wybranym Obiektem lub bezpośrednią umową między Tobą a Organizatorem turystyki, dotyczącą rezerwacji Usługi Hotel+Lot. Stroną odpowiedzialną za prawidłowe wykonanie umowy w odniesieniu do rezerwacji pobytu w obiekcie jest Oferent lub Organizator turystyki w przypadku rezerwacji Usługi Hotel+Lot, których dane znajdziesz w sekcji Informacja dla konsumentów. W odniesieniu do rezerwacji usług Oferenta obowiązuje Regulamin Serwisu Travelist , Regulamin Środków i Kart Podarunkowych , Regulamin Usługi Zakwaterowania oraz Warunki Rezygnacji . W odniesieniu do rezerwacji Usługi Hotel+Lot obowiązuje Regulamin Serwisu , Regulamin Travelist Hotel+Lot oraz Warunki Rezygnacji Usługi Hotel+Lot . Szczegółowe informacje na temat sposobu funkcjonowania serwisu znajdziesz w zakładce „Jak działamy” dostępnej tutaj . W przypadku Usługi Hotel+Lot Travelist działa jako agent Organizatora Turystyki. Transport nie jest wliczony w cenę. Secret Escapes Limited a company registered in England & Wales under number 07026107, registered office 88 Kingsway, London, WC2B 6AA. © Secret Escapes 2019;DLACZEGO WARTO? Hotel JUVENA SPA&Wellness to synonim luksusu i elegancji. Obiekt zlokalizowany jest w niewielkiej miejscowości nadmorskiej - Międzywodzie w otoczeniu lasu sosnowego i zaledwie 200 metrów od plaży. Goście korzystać tu mogą m.in z wykwintnej restauracji, baru przy basenie na dachu budynku, z którego rozpościera się niesamowity widok na okolicę czy nowoczesnego kompleksu wellness & spa. Co ważne - Hotel jest dla osób powyżej 12 lat. Obiekt oferuje wypoczynek w przestronnych pokojach z klimatyzacją i balkonem. W każdym znajduje się łazienka z prysznicem, suszarka do włosów, czajnik elektryczny, telewizor oraz Wi-Fi. ATRAKCJE OBIEKTU - basen wewnętrzny - basen zewnętrzny na dachu - jacuzzi - 3 sauny - grota solna - hammam - ścieżka Kneippa - siłownia - spa - masaże - zabiegi na twarz i ciało JEDZENIE I PICIE Hotel oferuje swoim gościom niezapomniane doznania kulinarne. Znajduje się tu elegancka restauracja Rosa Mare, cocktail bar Mesa, w którym organizowane są wieczory z muzyką, kawiarnia Gracja, ogródek, gdzie organizowane są m.in. ogniska czy biesiady grillowe oraz Sky bar przy basenie na dachu budynku.;Pokój 2-osobowy Standard / maks. 2 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym lub 2 łóżkami pojedynczymi. Pow. ok. 23 m2. || Pokój Rodzinny / maks. 2 osoby dorosłe i maks. 2 dzieci || Pokój 2 os. Comfort / maks. 2 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym lub 2 łóżkami pojedynczymi. Pow. ok. 25 m2. || Pokój 2 os. Standard / maks. 2 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym lub 2 łóżkami pojedynczymi. Pow. ok. 23 m2. || Pokój rodzinny / maks. 4 osoby dorosłe / Dwa, dwuosobowe pokoje sąsiadujące ze sobą i połączone wewnętrznymi drzwiami - to idealna opcja dla rodzin, przyjaciół, grup planujących wspólny wypoczynek nas morzem. To dwa odrębne, komfortowo wyposażone pokoje hotelowe, które łączą ze sobą wewnętrzne drzwi. Pokoje położone są na ostatnim, czwartym piętrze hotelu. Standardowo, pokoje te przygotowane są dwoma osobnymi łóżkami, które na życzenie łączymy w łóżko małżeńskie. || Pokój 2-osobowy Comfort / maks. 2 osoby dorosłe / Klimatyzowany pokój z 1 łóżkiem podwójnym lub 2 łóżkami pojedynczymi. Pow. ok. 25 m2.;3.07.2026
